Date,Home Team,Away Team,Data Source,Result
2026-07-19,FC Tulsa,El Paso Locomotive,TheSportsDB,Pending
2026-07-19,Phoenix Rising,Monterey Bay FC,TheSportsDB,Pending
2026-07-19,San Antonio,Las Vegas Lights,TheSportsDB,Pending
2026-07-19,FC Tulsa,El Paso Locomotive,TheSportsDB,Pending
2026-07-19,Phoenix Rising,Monterey Bay FC,TheSportsDB,Pending
2026-07-19,San Antonio,Las Vegas Lights,TheSportsDB,Pending
2026-07-19,FC Tulsa,El Paso Locomotive,TheSportsDB,Pending
2026-07-19,Phoenix Rising,Monterey Bay FC,TheSportsDB,Pending
2026-07-19,San Antonio,Las Vegas Lights,TheSportsDB,Pending
2026-07-19,FC Tulsa,El Paso Locomotive,See Telegram Message,Pending
